Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successful_draw_total,Nonresident_successful_draw_total,Outiftter_successful_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
ELK-1-132,Unit 2,MB,85,1319,766,867,2952,1111,606,642,2359,157,96,117,370,51,64,108,223,72,5,8,85,84.71,5.88,9.41,100,68,4,0,0,72,0,5,0,0,5,3,5,0,0,8
ELK-1-133,Unit 2,A,125,649,807,585,2041,645,798,583,2026,0,0,0,0,4,9,2,15,118,0,7,125,94.4,0,5.6,100,80,32,6,0,118,0,0,0,0,0,4,3,0,0,7
ELK-1-134,Unit 2 youth only,A,75,126,83,94,303,123,82,91,296,0,0,0,0,3,1,3,7,70,0,5,75,93.33,0,6.67,100,38,15,17,0,70,0,0,0,0,0,3,0,2,0,5
ELK-1-135,Unit 2C,A,75,245,480,598,1323,240,476,593,1309,0,0,0,0,5,4,5,14,70,0,5,75,93.33,0,6.67,100,49,17,4,0,70,0,0,0,0,0,5,0,0,0,5
ELK-1-138,Unit 5A public land only,MB,10,73,55,51,179,70,52,47,169,1,1,3,5,2,2,1,5,9,0,1,10,90,0,10,100,9,0,0,0,9,0,0,0,0,0,1,0,0,0,1
ELK-1-139,Unit 5A public land only,A,10,26,17,41,84,26,17,41,84,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,6,2,2,0,10,0,0,0,0,0,0,0,0,0,0
ELK-1-140,Unit 5A public land only,MB,10,34,43,39,116,33,40,34,107,0,1,3,4,1,2,2,5,9,0,1,10,90,0,10,100,5,4,0,0,9,0,0,0,0,0,0,1,0,0,1
ELK-1-141,Unit 5A public land only,A,10,9,30,18,57,9,30,18,57,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,3,6,1,0,10,0,0,0,0,0,0,0,0,0,0
ELK-1-142,Unit 5A public land only,MB,10,12,29,33,74,11,29,29,69,0,0,2,2,1,0,2,3,9,0,1,10,90,0,10,100,3,3,3,0,9,0,0,0,0,0,1,0,0,0,1
ELK-1-143,Unit 5A public land only,A,10,6,15,25,46,6,15,25,46,0,0,0,0,0,0,0,0,10,0,0,10,100,0,0,100,3,2,5,0,10,0,0,0,0,0,0,0,0,0,0
